material_id,title,price,image_url,available_amount,description
1,"Ламинат EGGER Flooring EPL085 STF1 Дуб деревенский белый (8шт = 1,9933м2) Артикул: 1258411 с фаской, 32 класс, 8 мм",3900,/imgs/catalog/imgs/86779/medium/ff4a15b9-7d39-11e9-823b-ac1f6b02a9ed-df12992e-9670-11ea-a083-ac1f6b02a9ed.jpg,0,
1,Ламинат FIESTA 832 Дуб Осорно 1 класс,3950,/imgs/catalog/imgs/86780/medium/3a10dbed-c7b7-11e9-b547-ac1f6b02a9ed-8dd24ce2-94e7-11ea-9406-002590c792b1.jpg,3,
1,Ламинат FIESTA 832 сосна Анданте 1 класс,3950,/imgs/catalog/imgs/86781/medium/87ba604e-f558-11e8-ad81-ac1f6b02a9ec-f17a5fc3-9684-11ea-a083-ac1f6b02a9ed.jpg,2,
1,Ламинат FIESTA ДУБ Синсеро,3950,/imgs/catalog/imgs/86783/medium/43c92e0a-1dd7-11e7-8aab-00259096d116-46b4313b-1ddc-11e8-940a-002590983237.jpg,0,
1,Ламинат Fiorentino Twin Click Дуб Каталония/Гегенцуг корич. 8мм 32 класс c фаской,3050,/assets/imgs/logo2020.png,4,
1,Ламинат Forte Classic Twin Click Дуб Белый Крафт/Гегенцуг корич. 8 мм 33 класс,3790,/imgs/catalog/imgs/86773/medium/e96f7f2f-c9c0-11e2-9f33-0025909279a7-0af575d7-1d31-11e8-b3f2-00259096d116.jpg,1262,
1,Ламинат Forte Classic Twin Click Дуб Белый Масляный/Гегенцуг корич. 8 мм 33 класс,3790,/imgs/catalog/imgs/86750/medium/df6d07b7-1d6e-11ea-8515-ac1f6b02a9ed-bec8f5c7-9661-11ea-a083-ac1f6b02a9ed.jpg,1445,
1,Ламинат Forte Classic Twin Click Дуб Битник /Гегенцуг корич. 8мм 33 класс,3790,/imgs/catalog/imgs/86787/medium/ab39e764-704c-11e7-8c6c-00259096d116-0af575f7-1d31-11e8-b3f2-00259096d116.jpg,13,
1,Ламинат Forte Classic Twin Click Дуб Валькирия /Гегенцуг корич. 8 мм 33 класс,3790,/imgs/catalog/imgs/86788/medium/43cde608-c338-11ea-a8d0-ac1f6b02a9ed-fb6a7901-fbe6-11ea-a9ee-ac1f6b02a9ed.jpg,885,
1,Ламинат Forte Classic Twin Click Дуб Корона/Гегенцуг корич. 8мм 33 класс,3790,/imgs/catalog/imgs/86789/medium/5aff4238-a446-11e8-8afb-ac1f6b02a9ec-fb6a78f8-fbe6-11ea-a9ee-ac1f6b02a9ed.jpg,795,
